Measurement
;BFO_BT_-TEMPLATE_5 nov nod za pec
Graph
;Keysiht MC

Series
;R positive (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R positive (1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance [Ohm]

;R negative (1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R negative (1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance [Ohm]

Data
;Index;X data for R positive (1V) [Ohm];Y data for R positive (1V) [Ohm];X data for R negative (1V) [Ohm];Y data for R negative (1V) [Ohm];
;465;560.248899998842;501699.255377965;560.248899998842;1023196.89684845;
;466;561.464483337477;539315.274541137;561.464483337477;1104331.74125507;
;467;562.675699997926;579810.981619992;562.675699997926;1191943.41606215;
;468;563.88838333427;623721.371189062;563.88838333427;1287175.22959988;
;469;565.099283336895;671400.938484232;565.099283336895;1390805.10926165;
;470;566.298516662791;720523.907343508;566.298516662791;1498241.81323217;
;471;567.507549994625;776468.048728029;567.507549994625;1620251.85194787;
;472;568.719833336072;837113.598826702;568.719833336072;1752872.95877944;
;473;569.930199998198;902676.978848473;569.930199998198;1896514.77479835;
;474;571.142700001365;976789.527253405;571.142700001365;2058930.71492251;
;475;572.355066669406;1049816.96441225;572.355066669406;2220692.41189403;
;476;573.568183329189;1110176.09613237;573.568183329189;2358117.9389106;
;477;574.782766664866;1176563.32910947;574.782766664866;2509026.22183304;
;478;575.994966669241;1248755.92690782;575.994966669241;2672610.55253551;
;479;577.211166664492;1326889.95570841;577.211166664492;2850310.25627139;
;480;578.4233833279;1410900.90255331;578.4233833279;3041288.53312571;
;481;579.630016669398;1500733.10812332;579.630016669398;3245962.83372555;
;482;580.846749994671;1598291.74578211;580.846749994671;3468272.24549818;
;483;582.05701667117;1702324.69460295;582.05701667117;3705844.85851084;
;484;583.268450003816;1813831.91945135;583.268450003816;3961337.34748851;
;485;584.47486666264;1932647.24356187;584.47486666264;4233951.20794628;
;486;585.678516664775;2059206.29952391;585.678516664775;4524354.60081619;
;487;586.895516670775;2196064.65214336;586.895516670775;4841845.94408249;
;488;588.10716666514;2328820.08001826;588.10716666514;5177288.47799626;
;489;589.319300001953;2483811.75687457;589.319300001953;5537432.7686444;
;490;590.530383337755;2652533.96569743;590.530383337755;5920277.5426112;
;491;591.741866668454;2841094.7306216;591.741866668454;6335846.76374451;
;492;592.946883329423;3024309.39894875;592.946883329423;6773856.1666477;
;493;594.158266664017;3227711.84279752;594.158266664017;7247600.50066424;
;494;595.373383329716;3446742.65585309;595.373383329716;7755172.3121736;
;495;596.584999995539;3679013.43575707;596.584999995539;8295664.10524211;
;496;597.799916669028;3926310.99524131;597.799916669028;8872453.16231976;
;497;599.006216662237;4186482.68470762;599.006216662237;9485326.20036803;
;498;600.216533336788;4467237.28177546;600.216533336788;10140805.0785152;
;499;601.43481666455;4766058.04105482;601.43481666455;10853344.1866775;
;500;602.648033330915;5083806.55099312;602.648033330915;11603741.5104126;
;501;603.858549997676;5421050.26343594;603.858549997676;12401162.7330178;
;502;605.071266662562;5780520.5705605;605.071266662562;13258379.2957149;
;503;606.282633338124;6163609.31099477;606.282633338124;14173842.1742674;
;504;607.489249999635;6570815.9836413;607.489249999635;15149931.2950616;
;505;608.69185000076;6998728.33106225;608.69185000076;16162269.1825932;
;506;609.899050000822;7459641.47471144;609.899050000822;17259352.8433058;
;507;611.11231666524;7952482.32759615;611.11231666524;18438141.8778141;
;508;612.324483330594;8474590.63489938;612.324483330594;19699193.3180336;
;509;613.528583336156;9029247.53862712;613.528583336156;20753389.5473478;
;510;614.726883337134;9612667.18831407;614.726883337134;22401383.5094455;
;511;615.939650000073;10240938.5615373;615.939650000073;23947162.9796018;
;512;617.138566668145;10900988.5016373;617.138566668145;25541414.1259345;
;513;618.349533338333;11608173.0825039;618.349533338333;26988732.2043047;
;514;619.565033329418;12367451.8349588;619.565033329418;29060052.5986952;
;515;620.777216664283;13165326.2170357;620.777216664283;31025357.024296;
;516;621.997983329929;14026720.9033208;621.997983329929;33131891.4334182;
;517;623.201150000095;14915711.3153569;623.201150000095;34854378.4070155;
;518;624.399266667897;15883731.0884327;624.399266667897;37657975.2059891;
;519;625.612000002293;16904656.0494157;625.612000002293;39568544.5897929;
;520;626.827699996065;17990853.450106;626.827699996065;42804371.1823851;
;521;628.039383329451;19134947.3023551;628.039383329451;45598803.4873965;
;522;629.242049998138;20347991.3480341;629.242049998138;48473567.3637166;
;523;630.464599997504;21655661.9811033;630.464599997504;51086612.2423958;
;524;631.678116662661;23030543.1062675;631.678116662661;54318305.2688756;
;525;632.885066661984;24479444.6103607;632.885066661984;58801046.6586305;
;526;634.097083333181;25794802.347327;634.097083333181;62488673.9278506;
;527;635.312533336692;27651579.0434213;635.312533336692;65446311.1186738;
;528;636.52164999512;29428989.3202198;636.52164999512;70840594.494269;
;529;637.729616666911;31270912.4226827;637.729616666911;75407957.0476277;
