Measurement
;BCTZ_16cikel za lukata loceno
Graph
;Keysiht MC

Series
;R (+1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (+1V) [Ohm] Y-expression: $N12.DF3
;Assigned to Axis: Resistance

;Electrometer avg [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;Electrometer avg [Ohm] Y-expression: ($N12.DF3+$N13.DF3)/2
;Assigned to Axis: Resistance

;R (-1V) [Ohm] X-expression: $N11.TM
;Assigned to Axis: time [min]
;R (-1V) [Ohm] Y-expression: $N13.DF3
;Assigned to Axis: Resistance

Data
;Index;X data for R (+1V) [Ohm];Y data for R (+1V) [Ohm];X data for Electrometer avg [Ohm];Y data for Electrometer avg [Ohm];X data for R (-1V) [Ohm];Y data for R (-1V) [Ohm];
;125;778.812616670039;-165016501650.165;778.812616659561;-38916271749.2325;778.812616670039;87183958151.7001;
;126;779.760633335682;418410041841.004;779.760633314727;294529253002.414;779.760633335682;170648464163.823;
;127;780.710466674063;-1176470588235.29;780.710466674063;-359924791834.54;780.710466674063;456621004566.21;
;128;781.660233334405;-198019801980.198;781.660233219154;3025990099009.9;781.660233334405;6250000000000;
;129;782.608166673454;471698113207.547;782.608166642021;3569182389937.11;782.608166673454;6666666666666.67;
;130;783.555666668108;-1030927835051.55;783.555666626198;-824105892834.417;783.555666668108;-617283950617.284;
;131;784.505783335771;-202839756592.292;784.505783241475;-341804493680.761;784.505783335771;-480769230769.231;
;132;785.453516672132;91324200913.242;785.4535166407;-936222003.770401;785.453516672132;-93196644920.7828;
;133;786.401483339723;153374233128.834;786.401483329246;-347041696994.905;786.401483339723;-847457627118.644;
;134;787.349216665607;961538461538.462;787.349216592265;397017136966.886;787.349216665607;-167504187604.69;
;135;788.298883340322;341296928327.645;788.298883350799;391887402216.92;788.298883340322;442477876106.195;
;136;789.247099998174;-549450549450.55;789.247099872446;-353714216273.458;789.247099998174;-157977883096.367;
;137;790.197166667785;-200000000000;790.197166657308;-38800489596.083;790.197166667785;122399020807.834;
;138;791.146550002741;-1851851851851.85;791.146550023695;-863347703147.452;791.146550002741;125156445556.946;
;139;792.094316667644;2941176470588.24;792.094316552393;1822700911350.46;792.094316667644;704225352112.676;
;140;793.042500007432;73260073260.0733;793.042499955045;65598750419.1444;793.042500007432;57937427578.2155;
;141;793.992100004107;-151285930408.472;793.992099888856;-332053221614.492;793.992100004107;-512820512820.513;
;142;794.940149998292;-83963056255.2477;794.940149956383;105077295401.788;794.940149998292;294117647058.824;
;143;795.888133335393;-253164556962.025;795.88813334587;-254459516332.675;795.888133335393;-255754475703.325;
;144;796.83805000037;182149362477.231;796.838049937505;-53017537781.5575;796.83805000037;-288184438040.346;
;145;797.789466669783;1136363636363.64;797.789466575487;636394642192.734;797.789466669783;136425648021.828;
;146;798.739083335968;158227848101.266;798.739083220717;134669479606.188;798.739083335968;111111111111.111;
;147;799.686866670381;-272479564032.698;799.68686659704;-324209706828.379;799.686866670381;-375939849624.06;
;148;800.636933339993;104493207941.484;800.636933235219;-117821423240.142;800.636933339993;-340136054421.769;
;149;801.58656666521;76863950807.0715;801.586566581391;105817420147.471;801.58656666521;134770889487.871;
;150;802.538250004873;-129870129870.13;802.538249910576;-170867268324.896;802.538250004873;-211864406779.661;
;151;803.487416667631;2439024390243.9;803.48741655238;1179091823254.53;803.487416667631;-80840743734.8424;
;152;804.437283334555;1020408163265.31;804.4372833136;596709271944.073;804.437283334555;173010380622.837;
;153;805.387350004166;108577633007.6;805.387349951779;110913958066.654;805.387350004166;113250283125.708;
;154;806.336999998894;-59880239520.9581;806.337000009371;-85681479849.665;806.336999998894;-111482720178.372;
;155;807.287100007525;68166325835.0375;807.287099913228;84133212967.5688;807.287100007525;100100100100.1;
;156;808.236150004668;114155251141.552;808.236149910372;113960446958.717;808.236150004668;113765642775.882;
;157;809.184416671051;-128534704370.18;809.184416692006;-143131705497.393;809.184416671051;-157728706624.606;
;158;810.132166666444;-653594771241.83;810.132166655967;-67730028107.9615;810.132166666444;518134715025.907;
;159;811.081766673597;-473933649289.099;811.081766600255;147648559970.835;811.081766673597;769230769230.769;
;160;812.029216670198;-151515151515.152;812.029216607334;-7076257076.25751;812.029216670198;137362637362.637;
;161;812.979066667613;-139275766016.713;812.97906667809;327187513817.04;812.979066667613;793650793650.794;
;162;813.929966666037;-520833333333.333;813.929966645082;-341849891422.367;813.929966666037;-162866449511.401;
;163;814.87798333168;-847457627118.644;814.877983300248;-212758349424.301;814.87798333168;421940928270.042;
;164;815.82621666952;11111111111111.1;815.826216679998;6065759637188.2;815.82621666952;1020408163265.31;
;165;816.77443333785;1960784313725.49;816.774433348328;1054686361914.75;816.77443333785;148588410104.012;
;166;817.722516671056;-174216027874.564;817.722516681533;-191274680603.948;817.722516671056;-208333333333.333;
;167;818.675550000044;-131233595800.525;818.675550000044;-180295696982.831;818.675550000044;-229357798165.138;
;168;819.623566665687;-143061516452.074;819.623566655209;-19284154255.295;819.623566665687;104493207941.484;
;169;820.571083340328;127551020408.163;820.571083350806;-1413538035.814;820.571083340328;-130378096479.791;
;170;821.519016668899;-1315789473684.21;821.519016626989;-833951074870.274;821.519016668899;-352112676056.338;
;171;822.467250006739;-137931034482.759;822.467250006739;112193903048.476;822.467250006739;362318840579.71;
;172;823.416850003414;332225913621.262;823.41684994055;550728341426.015;823.416850003414;769230769230.769;
;173;824.366550006671;80064051240.9928;824.366549954284;94557652665.2074;824.366550006671;109051254089.422;
;174;825.318300003419;-270270270270.27;825.318299961509;-531960531960.532;825.318300003419;-793650793650.794;
;175;826.267783334479;-1204819277108.43;826.26778325066;-392325604940.769;826.267783334479;420168067226.891;
;176;827.218750000466;-254452926208.651;827.218749895692;-2210559796437.66;827.218750000466;-4166666666666.67;
;177;828.167450000765;-180180180180.18;828.167449969333;69145578699.719;828.167450000765;318471337579.618;
;178;829.116800007177;-568181818181.818;829.116799923358;119134897360.704;829.116800007177;806451612903.226;
;179;830.065366672352;132625994694.96;830.065366661875;136145399582.117;830.065366672352;139664804469.274;
;180;831.014683339745;-421940928270.042;831.014683350222;-281691821985.091;831.014683339745;-141442715700.141;
;181;831.964516667649;480769230769.231;831.964516562875;283192834562.698;831.964516667649;85616438356.1644;
;182;832.914166672854;257069408740.36;832.91416660999;27931082639.7975;832.914166672854;-201207243460.765;
;183;833.862383341184;87796312554.8727;833.862383288797;88541013420.2935;833.862383341184;89285714285.7143;
;184;834.809633335099;-534759358288.77;834.809633282712;-166978072718.682;834.809633335099;200803212851.406;
;185;835.759733333252;109289617486.339;835.759733333252;823875577973.94;835.759733333252;1538461538461.54;
;186;836.711183341686;440528634361.234;836.711183236912;1923705826.905;836.711183341686;-436681222707.424;
;187;837.661100006662;1075268817204.3;837.66109997523;469514517593.976;837.661100006662;-136239782016.349;
;188;838.610799999442;378787878787.879;838.610799988965;269011773788.844;838.610799999442;159235668789.809;
;189;839.560416665627;781250000000;839.560416623717;466844512195.122;839.560416665627;152439024390.244;
;190;840.5105500028;-251256281407.035;840.510549939936;0;840.5105500028;251256281407.035;
;191;841.459883339703;38865137971.2398;841.459883329226;-27781784177.7418;841.459883339703;-94428706326.7233;
;192;842.410016666399;79365079365.0794;842.410016645445;242111689480.111;842.410016666399;404858299595.142;
;193;843.357716674218;-70821529745.0425;843.357716642786;27482316888.4853;843.357716674218;125786163522.013;
;194;844.305716670351;-305810397553.517;844.305716597009;-122947140058.963;844.305716670351;59916117435.5902;
;195;845.25335000013;763358778625.954;845.253349926788;427425043475.832;845.25335000013;91491308325.7091;
;196;846.201316667721;-173310225303.293;846.201316615334;-3419988445984.98;846.201316667721;-6666666666666.67;
;197;847.150633335113;185185185185.185;847.150633303681;-93974571586.512;847.150633335113;-373134328358.209;
;198;848.098883331986;-440528634361.234;848.09888323769;238451279149.658;848.098883331986;917431192660.55;
;199;849.04874999891;350877192982.456;849.048750009388;329759584145.549;849.04874999891;308641975308.642;
;200;849.996733336011;239808153477.218;849.996733252192;28328985163.5175;849.996733336011;-183150183150.183;
;201;850.946333332686;-2272727272727.27;850.946333332686;-911138411138.41;850.946333332686;450450450450.45;
;202;851.896150001558;-1149425287356.32;851.89614999108;-526216038440.527;851.896150001558;96993210475.2667;
;203;852.845683341147;-1724137931034.48;852.845683257328;-1643318965517.24;852.845683341147;-1562500000000;
;204;853.794216667302;-139470013947.001;853.794216583483;986350876.569992;853.794216667302;141442715700.141;
;205;854.745433334028;-200803212851.406;854.745433344506;-12062383810.862;854.745433334028;176678445229.682;
;206;855.695300000953;-980392156862.745;855.69529996952;-187165775401.07;855.695300000953;606060606060.606;
;207;856.644933336647;-411522633744.856;856.644933315692;214406750354.463;856.644933336647;840336134453.782;
;208;857.59426667355;-220264317180.617;857.594266568776;19737971279.8215;857.59426667355;259740259740.26;
;209;858.542733332142;-353356890459.364;858.542733216891;-2028530297081.53;858.542733332142;-3703703703703.7;
;210;859.492466674419;214592274678.112;859.492466642987;-1363292097955.06;859.492466674419;-2941176470588.24;
;211;860.442083340604;-775193798449.612;860.442083288217;-249092744100.153;860.442083340604;277008310249.307;
;212;861.393866665894;-163132137030.995;861.393866550643;-140807774676.635;861.393866665894;-118483412322.275;
;213;862.341533334693;226757369614.512;862.341533282306;3238378684807.26;862.341533334693;6250000000000;
;214;863.291333334055;-2631578947368.42;863.291333239758;-1375885627530.36;863.291333334055;-120192307692.308;
;215;864.239266673103;-216919739696.312;864.239266662626;-158112302817.372;864.239266673103;-99304865938.431;
;216;865.187216671184;162601626016.26;865.187216639752;-27394839165.783;865.187216671184;-217391304347.826;
;217;866.136816667859;347222222222.222;866.136816584039;-540674603174.604;866.136816667859;-1428571428571.43;
;218;867.084833333502;151975683890.578;867.084833239205;147621079767.638;867.084833333502;143266475644.699;
;219;868.034400001634;-210970464135.021;868.034399907337;-206699806966.296;868.034400001634;-202429149797.571;
;220;868.984283338068;157232704402.516;868.984283233294;-9722870413.58301;868.984283338068;-176678445229.682;
;221;869.933600005461;900900900900.901;869.933599921642;593716926095.15;869.933600005461;286532951289.398;
;222;870.881600001594;221729490022.173;870.881600022549;31119928424.1645;870.881600001594;-159489633173.844;
;223;871.838316674111;-398406374501.992;871.838316579815;-125889404259.794;871.838316674111;146627565982.405;
;224;872.786233333172;-223713646532.438;872.78623330174;34770742716.1855;872.786233333172;293255131964.809;
;225;873.736316672294;2272727272727.27;873.736316640861;1293596340766.15;873.736316672294;314465408805.031;
;226;874.685600000666;4761904761904.76;874.685599927325;1880952380952.38;874.685600000666;-1000000000000;
